Permit_Number,Date_of_Submission,Date_of_Permit_Issuance,Completed_Date,Expiration_Date,Permit_Name,Work_Type,Primary_Work_Scope,Permit_Status,Civic_ID,Civic_Number,Street_Name,Community,PID,Estimated_Project_Value,Most_Recent_Inspection,Type_of_Structure,Work_Description,Active_Parcel,Date_Inspection_Completed,Occupancy_Type,Residential_Units_Demoed,District,Inspection_Outcome
"GP-2021-02190","2021-02-11 12:00:00","2021-02-12 12:00:00","2021-07-21 12:00:00","2023-02-12 12:00:00","Solar Permit","Installation","Roof/Wall Mount - Photovoltaic","Completed",115182,"24","DOROTHEA DR","DARTMOUTH","40398281",,"Building - SOL - Photovoltaic Final","Residential","Installation","Y","2021-07-21 12:00:00",,,"District 06","Passed"
"GP-2021-07816","2021-04-30 12:00:00",,,,"Deck Permit","Non Residential","New","Application Incomplete",17922,"3450","DUTCH VILLAGE RD","HALIFAX","00182675",5000.0000,,"Commercial","We will build a patio by using the wood floor.","Y",,,,"District 10",
"OCCUPY-2021-12205","2021-06-28 12:00:00",,"2021-07-22 12:00:00",,"Application to Occupy","Residential","Occupancy Only - No Building Alterations or Renovations","Withdrawn",131952,"1740","WEST JEDDORE RD","WEST JEDDORE","41140351",,,"Mixed Use - Residential & Other Use(s)","no work being done, we have a camper on our lot and want to live in it until we decide if we are going to build a home or buy a mini home. need occupy permit to get our mail delivered here too as we sold our home.
Need refund where I was denied","Y",,"Recreation Use",,"District 02",
"OCCUPY-2024-04417","2024-04-19 12:00:00",,,,"Application to Occupy","Non Residential","Occupancy Only - No Building Alterations or Renovations","Applicant Revisions",85998,"143","COW BAY RD","EASTERN PASSAGE","40081598",,,"Mixed Use - Residential & Other Use(s)","I just bought a house, there is a commercial area that was currently a small hair salon, and was previously a candy/ice cream/slushies. We are looking to switch it back to a candy store.","Y",,"Retail Use",,"District 03",
"POOL-2023-14846","2024-01-09 12:00:00","2024-01-12 12:00:00","2024-04-26 12:00:00","2024-07-12 12:00:00","Swimming Pool Permit","Installation","Above Ground","Completed",75084,"6690","THIRD ST","HALIFAX","00006734",23720.0000,"Building - SWI - Swimming Pool Final","Dwelling - Single Detached","Installation of 12’ X 18’ oval on ground swimming pool with 52” depth","Y","2024-04-26 12:00:00",,,"District 09","Passed"
"SIGN-2023-12511","2023-09-21 12:00:00",,,,"Sign Permit","Fascia Sign","Non Illuminated","Application Incomplete",53318,"303","PRINCE ALBERT RD","DARTMOUTH","00112466",,,"Accessory Structure","Install Rebranded Signage","Y",,,,"District 05",
"SOLAR-2021-15709","2021-09-09 12:00:00","2021-09-15 12:00:00",,"2023-09-15 12:00:00","Solar Permit","Installation","Roof Mount - Photovoltaic","Expired",36333,"61","ASHLEA DR","WINDSOR JUNCTION","40868895",,,"Dwelling - Single Detached","Installation of 10.24 kw DC Photovoltaic Solar Project","Y",,,,"District 01",
"SOLAR-2022-08649","2022-06-16 12:00:00","2022-06-20 12:00:00","2022-11-30 12:00:00","2024-06-20 12:00:00","Solar Permit","Installation","Roof Mount - Photovoltaic","Completed",121218,"35","WATERSIDE TERR","DARTMOUTH","41033549",,"Building - SOL - Photovoltaic Final","Dwelling - Single Detached","Installation of 24 x 455 watt PV solar panels.","Y","2022-11-30 12:00:00",,,"District 03","Passed"
"SOLAR-2023-02125","2023-03-15 12:00:00","2023-03-17 12:00:00","2023-10-26 12:00:00","2025-03-17 12:00:00","Solar Permit","Installation","Roof Mount - Photovoltaic","Completed",45648,"181","ROCKMANOR DR","BEDFORD","40252736",,"Building - SOL - Photovoltaic Final","Dwelling - Single Detached","Solar installation on existing roof","Y","2023-10-26 12:00:00",,,"District 16","Passed"
"SOLAR-2023-10911","2023-08-14 12:00:00","2023-08-16 12:00:00","2023-11-24 12:00:00","2025-08-16 12:00:00","Solar Permit","Installation","Roof Mount - Photovoltaic","Completed",167156,"44","KINSALE CRT","EASTERN PASSAGE","41432360",,"Building - SOL - Photovoltaic Final","Dwelling - Single Detached","Installation of 9.93 kW PV Array with 21 Solar Panels","Y","2023-11-24 12:00:00",,,"District 03","Passed"
"SOLAR-2024-02685","2024-03-26 12:00:00","2024-03-28 12:00:00","2024-10-03 12:00:00","2026-03-28 12:00:00","Solar Permit","Installation","Roof Mount - Photovoltaic","Completed",29600,"7","PENNS RD","SHAD BAY","40063414",,"Building - SOL - Photovoltaic Final","Dwelling - Single Detached","Install Roof Mount Photovoltaic Solar Panels","Y","2024-10-03 12:00:00",,,"District 13","Passed"
"SOLAR-2024-15643","2024-10-16 12:00:00","2024-10-17 12:00:00",,"2026-10-17 12:00:00","Solar Permit","Installation","Roof Mount - Photovoltaic","Issued",90820,"133","LOON LOOP","SHEET HARBOUR","00581462",,,"Dwelling - Single Detached","Install Solar on roof of house","Y",,,,"District 02",
"DECK-2021-15259","2021-09-08 12:00:00","2021-12-29 12:00:00",,"2023-12-29 12:00:00","Deck Permit","Residential","Renovation","Expired",108789,"24","GARSHAN RD","DARTMOUTH","40639015",25601.2100,"Building - DEC - Deck - Final","Dwelling - Single Detached","Modifications to an existing deck including re-decking in composite material.","Y","2022-12-06 12:00:00",,,"District 06","Failed"
"DECK-2022-08027","2022-06-15 12:00:00","2022-06-28 12:00:00","2022-08-18 12:00:00","2024-06-28 12:00:00","Deck Permit","Residential","New","Completed",15911,"140","CHARLES RD","TIMBERLEA","40749228",13600.0000,"Building - DEC - Deck - Final","Dwelling - Single Detached","Demolition of Existing Deck
Build New Deck","Y","2022-08-18 12:00:00",,,"District 12","Passed"
"DECK-2023-02542","2023-04-16 12:00:00",,,,"Deck Permit","Residential","New","Applicant Revisions",59556,"2","SUMMIT ST","DARTMOUTH","00220533",2500.0000,,"Dwelling - Single Detached","Add a front deck adjoined to our front steps.The deck will be 4.65 meters by 2.13 meters","Y",,,,"District 05",
"DECK-2023-14187","2023-10-27 12:00:00","2023-11-02 12:00:00","2023-12-21 12:00:00","2025-11-02 12:00:00","Deck Permit","Residential","New","Completed",54239,"18","CELTIC DR","DARTMOUTH","00113134",62913.0000,"Building - DEC - Deck - Footing","Dwelling - Single Detached","New low-to-grade deck, landscaping & renovate accessory building","Y","2023-12-21 12:00:00",,,"District 06","Passed"
"DECK-2024-10914","2024-08-14 12:00:00","2024-09-11 12:00:00","2024-12-12 12:00:00","2026-09-11 12:00:00","Deck Permit","Residential","Renovation","Completed",109491,"1","CEDARWOOD DR","WESTPHAL","40124448",30000.0000,"Building - DEC - Deck - Final","Dwelling - Multiple Units","Construction of New Deck","Y","2024-12-12 12:00:00",,,"District 04","Passed"
"DEMO-2022-01388","2022-02-10 12:00:00","2022-02-22 12:00:00","2022-06-07 12:00:00","2022-06-01 12:00:00","Demolition Permit","Demolition","Demolition","Expired (Closed)",,,,,"00253302",,"Building - DEM - Demolition - Final","Dwelling - Single Detached","Demolition existing house and clean all debris and haul away","N","2022-05-18 12:00:00",,1,"District 10","Passed"
"DEMO-2023-08514","2023-06-30 12:00:00","2023-06-30 12:00:00","2023-08-23 12:00:00","2024-01-30 12:00:00","Demolition Permit","Demolition","Demolition","Completed",123894,"102","CARMEL CRES","HAMMONDS PLAINS","40834541",,"Building - DEM - Demolition - Site Safety","Dwelling - Single Detached","Emergency disaster fire clean up in Hammonds Plains. For safety reasons clean up has to begin ASAP. Full foundation and debris Clean up
Total loss 

-- Tantallon Fires --","Y","2023-08-23 12:00:00",,1,"District 14","Waived"
"DEMO-2024-10757","2024-08-15 12:00:00","2024-08-21 12:00:00",,"2024-11-15 12:00:00","Demolition Permit","Demolition","Demolition","Expired",48735,"84","LANCASTER DR","DARTMOUTH","40674616",,,"Accessory Structure","Complete Demo of 15x20 Detached garage. Including removal of existing cement pad (6 inches thick)","Y",,,1,"District 05",
"GP-2021-00431","2021-02-24 12:00:00",,,,"Demolition Permit","Residential","Demolition","Applicant Revisions",66561,"2727","ROBIE ST","HALIFAX","00161620",,,"Dwelling - Multiple Units","We will be demolishing  these properties to build a multi unit residential building","N",,,14,"District 08",
"GP-2021-03933","2021-03-11 12:00:00","2021-03-18 12:00:00","2023-03-21 12:00:00","2023-03-18 12:00:00","Application to Occupy","Non Residential","Occupancy Only - No Building Alterations or Renovations","Expired (Closed)",42265,"752","SACKVILLE DR","LOWER SACKVILLE","41063983",,"Building - OCC - Commercial Final","Commercial","occupancy certificate for garden center and store
SET UP APRIL 9th 
Closing JULY 10th","Y","2021-04-20 12:00:00","Retail Use",,"District 15","Partially Passed"
"GP-2021-06433","2021-04-13 12:00:00","2021-04-19 12:00:00","2021-08-11 12:00:00","2023-04-19 12:00:00","Solar Permit","Installation","Roof/Wall Mount - Photovoltaic","Completed",48479,"11","DUMBARTON AVE","DARTMOUTH","00185165",,"Building - SOL - Photovoltaic Final","Residential","Installation","Y","2021-08-11 12:00:00",,,"District 06","Passed"
"GP-2021-09166","2021-06-07 12:00:00","2021-07-20 12:00:00","2024-11-19 12:00:00","2025-01-30 12:00:00","Swimming Pool Permit","Installation","Above Ground","Completed",64560,"3","RIDGEWOOD CRT","DARTMOUTH","40633091",8000.0000,"Building - SWI - Swimming Pool Final","Dwelling - Single Detached","An above ground 21 foot (6.4m in diameter) pool to be installed next to existing deck, on level ground. A new deck and safety walls to be built around it by a licensed contractor.","Y","2024-11-19 12:00:00",,,"District 03","Passed"
"MOBILE-2023-16075","2023-12-14 12:00:00","2023-12-20 12:00:00",,"2025-12-20 12:00:00","Mobile Home Permit","Installation","On Private Lot","Issued",141841,"42","SELIGS RD","PROSPECT","41250770",,"Building - MOB - Mobile Home Final","Mobile Home","Install mobile home on a foundation with unheated crawl space.","Y","2024-05-17 12:00:00",,,"District 13","Failed"
"OCCUPY-2022-05283","2022-04-18 12:00:00","2022-07-14 12:00:00","2022-07-18 12:00:00","2024-07-14 12:00:00","Application to Occupy","Non Residential","Occupancy Only - No Building Alterations or Renovations","Completed",48309,"210","WAVERLEY RD","DARTMOUTH","00101360",,"Building - OCC - Commercial Final","Commercial","New Restaurant 'Xaymaca Seafood and Caribbean Cuisine'","Y","2022-07-18 12:00:00","Restaurant",,"District 06","Passed"
"OCCUPY-2023-11696","2023-08-30 12:00:00",,,,"Application to Occupy","Residential","Occupancy Only - No Building Alterations or Renovations","Application Incomplete",42607,"9","RAYMOND DR","LOWER SACKVILLE","40002883",,,"Dwelling - Multiple Units","Hello, looking to get an occupancy permit for a secondary unit.
Thank you","Y",,"Secondary Suite",,"District 15",
"OCCUPY-2024-18349","2024-12-12 12:00:00","2024-12-24 12:00:00","2025-01-10 12:00:00","2026-12-24 12:00:00","Application to Occupy","Non Residential","Occupancy Only - No Building Alterations or Renovations","Completed",74417,"1560","GRAFTON ST","HALIFAX","00076901",,"Building - OCC - Commercial Final","Commercial","Occupancy for change of ownership and name Atithi Indian and Pizza.","Y","2025-01-10 12:00:00","Restaurant",,"District 07","Passed"
"POOL-2022-10978","2022-08-09 12:00:00","2022-09-06 12:00:00","2023-02-06 12:00:00","2023-03-06 12:00:00","Swimming Pool Permit","Installation","Above Ground","Completed",158274,"636","MYERS POINT RD","MYERS POINT","41356304",2000.0000,"Building - SWI - Swimming Pool Final","Dwelling - Single Detached","Install pool","Y","2023-02-06 12:00:00",,,"District 02","Passed"
"SIGN-2021-13364","2021-07-21 12:00:00","2021-09-01 12:00:00","2021-09-01 12:00:00","2023-09-01 12:00:00","Sign Permit","Fascia Sign","Illuminated","Completed",170933,"325","WASHMILL LAKE DR","HALIFAX","41472309",,,"Commercial","Exterior Fascia Signage - Pizza Town, 325 Washmill Lake Drive, Halifax, NS","Y",,,,"District 12",
"SIGN-2023-02978","2023-03-22 12:00:00","2023-03-28 12:00:00","2023-03-28 12:00:00","2025-03-28 12:00:00","Sign Permit","Fascia Sign","Illuminated","Completed",109154,"575","MAIN ST","DARTMOUTH","40433492",,,"Commercial","Replace fascia sign, canopy over pumps 'Mobil'","Y",,,,"District 06",
"SIGN-2024-07799","2024-06-13 12:00:00",,,,"Sign Permit","Fascia Sign","Illuminated","Application Incomplete",101394,"5228","HIGHWAY 7","PORTERS LAKE","40243040",,,"Commercial","install one (1) illuminated fascia sign - LAWTONS - EVERYDAY WELLNESS","Y",,,,"District 02",
"SOLAR-2021-13067","2021-07-15 12:00:00","2021-07-22 12:00:00","2021-07-23 12:00:00","2023-07-22 12:00:00","Solar Permit","Installation","Roof Mount - Photovoltaic","Completed",117578,"516","COLBY DR","COLE HARBOUR","00630483",,"Building - SOL - Photovoltaic Final","Mixed Use - Residential & Other Use(s)","shingled roof PV install","Y","2021-07-23 12:00:00",,,"District 04","Passed"
"SOLAR-2021-18168","2021-10-27 12:00:00","2021-11-04 12:00:00","2022-02-03 12:00:00","2023-11-04 12:00:00","Solar Permit","Installation","Roof Mount - Photovoltaic","Completed",26620,"224","VILLAGE RD","HERRING COVE","40075848",,"Building - SOL - Photovoltaic Final","Dwelling - Single Detached","Installation of 10.24 kW DC Photovoltaic Solar Project","Y","2022-02-03 12:00:00",,,"District 11","Passed"
"SOLAR-2022-05597","2022-04-27 12:00:00","2022-04-29 12:00:00","2022-10-28 12:00:00","2024-04-29 12:00:00","Solar Permit","Installation","Roof Mount - Photovoltaic","Completed",90388,"796","HIGHWAY 277","DUTCH SETTLEMENT","40560922",,"Building - SOL - Photovoltaic Final","Dwelling - Single Detached","Solar installation on existing roof","Y","2022-10-28 12:00:00",,,"District 01","Passed"
"SOLAR-2022-10727","2022-10-11 12:00:00","2022-10-13 12:00:00","2022-12-07 12:00:00","2024-10-13 12:00:00","Solar Permit","Installation","Roof Mount - Photovoltaic","Completed",116126,"9","RUSSELL DR","LAWRENCETOWN","40279887",,"Building - SOL - Photovoltaic Final","Dwelling - Single Detached","Install solar photovoltaic 'electric' system on roof of residence.","Y","2022-12-07 12:00:00",,,"District 02","Passed"
"SOLAR-2023-00139","2023-01-10 12:00:00","2023-01-13 12:00:00","2023-12-15 12:00:00","2025-01-13 12:00:00","Solar Permit","Installation","Roof Mount - Photovoltaic","Completed",60866,"3344","DEVONSHIRE AVE","HALIFAX","00104604",,"Building - SOL - Photovoltaic Final","Dwelling - Single Detached","Solar installation on existing roof","Y","2023-12-15 12:00:00",,,"District 08","Passed"
"SOLAR-2023-04437","2023-05-03 12:00:00","2023-05-05 12:00:00","2024-01-03 12:00:00","2025-05-05 12:00:00","Solar Permit","Installation","Roof Mount - Photovoltaic","Completed",95826,"68","LOCKVIEW RD","FALL RIVER","40687840",,"Building - SOL - Photovoltaic Final","Dwelling - Single Detached","Solar installation on existing roof","Y","2024-01-03 12:00:00",,,"District 01","Passed"
"SOLAR-2023-08436","2023-07-07 12:00:00","2023-07-12 12:00:00","2023-10-26 12:00:00","2025-07-12 12:00:00","Solar Permit","Installation","Roof Mount - Photovoltaic","Completed",167970,"337","SAVOY AVE","LUCASVILLE","41389271",,"Building - SOL - Photovoltaic Final","Dwelling - Single Detached","Solar installation on existing roof","Y","2023-10-26 12:00:00",,,"District 14","Passed"
"SOLAR-2023-13359","2023-10-10 12:00:00","2023-10-12 12:00:00","2023-10-13 12:00:00","2025-10-12 12:00:00","Solar Permit","Installation","Roof Mount - Photovoltaic","Completed",139596,"5 A","EDWARD LAURIE DR","HALIFAX","41220377",,"Building - SOL - Photovoltaic Final","Dwelling - Single Detached","Roof top solar PV installation","Y","2023-10-13 12:00:00",,,"District 12","Passed"
"SOLAR-2024-01114","2024-09-06 12:00:00","2024-09-10 12:00:00","2024-09-20 12:00:00","2026-09-10 12:00:00","Solar Permit","Installation","Roof Mount - Photovoltaic","Completed",174396,"200","SILVER BIRCH DR","HUBLEY","41505702",,"Building - SOL - Photovoltaic Final","Dwelling - Single Detached","Install solar photovoltaic 'electric' system on roof of residence.","Y","2024-09-17 12:00:00",,,"District 13","Passed"
"SOLAR-2024-05336","2024-04-30 12:00:00","2024-05-03 12:00:00","2024-07-22 12:00:00","2026-05-03 12:00:00","Solar Permit","Installation","Roof Mount - Photovoltaic","Completed",167818,"41","TRAVERTINE CRT","HALIFAX","41373101",,"Building - SOL - Photovoltaic Final","Dwelling - Single Detached","Install Roof Mount Photovoltaic Solar Panels","Y","2024-07-22 12:00:00",,,"District 11","Passed"
"SOLAR-2024-10555","2024-08-07 12:00:00","2024-08-08 12:00:00","2024-11-22 12:00:00","2026-08-08 12:00:00","Solar Permit","Installation","Roof Mount - Photovoltaic","Completed",64704,"61","EDGECOMBE CRES","COLE HARBOUR","00473199",,"Building - SOL - Photovoltaic Final","Dwelling - Single Detached","to install solar panels on roof.","Y","2024-11-22 12:00:00",,,"District 04","Passed"
"SOLAR-2024-18409","2024-12-10 12:00:00","2024-12-11 12:00:00",,"2026-12-11 12:00:00","Solar Permit","Installation","Roof Mount - Photovoltaic","Issued",163853,"18","HADLEY CRES","HALIFAX","41378126",,,"Dwelling - Single Detached","to install solar panels on roof.","Y",,,,"District 11",
"DECK-2021-12529","2023-06-19 12:00:00","2023-06-22 12:00:00",,"2025-06-22 12:00:00","Deck Permit","Residential","New","Issued",3859,"55","HUMMINGBIRD LANE","HAMMONDS PLAINS","40837791",3500.0000,"Building - DEC - Deck - Final","Dwelling - Single Detached","Replacing rear deck same size and location (26ftx14ft).","Y","2023-12-06 12:00:00",,,"District 14","Failed"
"DECK-2021-19340","2021-11-26 12:00:00","2021-12-14 12:00:00","2022-01-21 12:00:00","2023-12-14 12:00:00","Deck Permit","Residential","New","Completed",110075,"64","QUINDORA CRES","WESTPHAL","40569253",12126.0000,"Building - DEC - Deck - Final","Dwelling - Single Detached","New PT deck with railing, skirting & stairs. New stone patio.","Y","2022-01-21 12:00:00",,,"District 04","Passed"
"DECK-2022-06109","2022-05-02 12:00:00","2022-05-16 12:00:00","2023-11-16 12:00:00","2024-05-16 12:00:00","Deck Permit","Residential","New","Completed",84555,"104","LYONS AVE","HALIFAX","00328435",12000.0000,"Building - DEC - Deck - Final","Dwelling - Single Detached","New two level deck to be constructed on rear of house.","Y","2023-11-16 12:00:00",,,"District 11","Passed"
"DECK-2022-10235","2022-07-29 12:00:00","2022-08-12 12:00:00","2023-11-01 12:00:00","2024-08-12 12:00:00","Deck Permit","Residential","New","Completed",81466,"1113","BELMONT ON THE ARM","HALIFAX","00052811",15930.0000,"Building - DEC - Deck - Final","Dwelling - Single Detached","Attached Ground Level Rear Deck 24' 10 1/2' x 23' 4 1/2'","Y","2023-11-01 12:00:00",,,"District 07","Passed"
"DECK-2022-15096","2022-11-26 12:00:00","2023-01-18 12:00:00","2025-01-21 12:00:00","2027-01-20 12:00:00","Deck Permit","Residential","Renovation","Completed",91931,"17","BEHIE RD","SHEET HARBOUR","40220782",2000.0000,"Building - DEC - Deck - Final","Dwelling - Single Detached","replace existing deck leaving existing overhang with asphalt roof, all sides left open","Y","2025-01-21 12:00:00",,,"District 02","Passed"
"DECK-2023-05731","2023-06-06 12:00:00","2023-06-08 12:00:00","2024-10-09 12:00:00","2025-06-08 12:00:00","Deck Permit","Residential","Addition","Completed",137832,"3188","SACKVILLE DR","UPPER SACKVILLE","41197625",9000.0000,"Building - DEC - Deck - Final","Dwelling - Single Detached","Construct deck around pool.","Y","2024-10-09 12:00:00",,,"District 14","Passed"
"DECK-2023-10597","2023-08-09 12:00:00","2023-08-14 12:00:00","2023-11-07 12:00:00","2025-08-14 12:00:00","Deck Permit","Residential","New","Completed",115089,"28","DOROTHEA DR","DARTMOUTH","40398307",7856.0000,"Building - DEC - Deck - Final","Dwelling - Single Detached","Replacing Deck","Y","2023-11-07 12:00:00",,,"District 06","Passed"
"DECK-2024-02811","2024-03-14 12:00:00","2024-03-18 12:00:00",,"2026-03-18 12:00:00","Deck Permit","Residential","New","Issued",6022,"39","LONG LAKE DR","HAMMONDS PLAINS","40627929",23450.0000,"Building - DEC - Deck - Footing","Dwelling - Single Detached","Deck Replacement","Y","2024-07-12 12:00:00",,,"District 14","Passed"
"DECK-2024-08346","2024-06-25 12:00:00","2024-07-03 12:00:00","2024-10-21 12:00:00","2026-07-03 12:00:00","Deck Permit","Residential","New","Completed",79112,"195","SPINNAKER DR","HALIFAX","40498941",42480.0000,"Building - DEC - Deck - Final","Dwelling - Semi-Detached","Replacement of existing front and rear decks.","Y","2024-10-21 12:00:00",,,"District 09","Passed"
