"Permit_Number","Date_of_Submission","Date_of_Permit_Issuance","Completed_Date","Expiration_Date","Permit_Name","Work_Type","Primary_Work_Scope","Permit_Status","HRM_ID","Civic_Number","Street_Name","Community","PID","Most_Recent_Inspection","Type_of_Structure","Work_Description","Active_Parcel","Date_Inspection_Completed",District,Inspection_Outcome
"GP-2021-10280","2021-06-03 12:00:00","2023-09-22 12:00:00","2023-11-02 12:00:00","2023-10-06 12:00:00","Lot Grading Permit","Associated to a Building","New","Expired (Closed)",79687,"101","OSBORNE ST","HALIFAX","00302117",,"Dwelling - Semi-Detached","Units B1 and B2","Y",,"District 11",
"GRADEALT-2021-10919","2021-06-18 12:00:00","2021-07-14 12:00:00","2023-06-09 12:00:00","2022-02-12 12:00:00","Grade Alteration Permit","Not Associated to a Building","Change of Grade Contour","Expired (Closed)",,,,,"41483777",,"Not Associated to a Building","Blasting to remove rock and adjust grading along section of old access road within PID 41483777.","Y",,"District 01",
"GRADEALT-2021-11404","2021-06-16 12:00:00",,"2021-06-22 12:00:00",,"Grade Alteration Permit","Not Associated to a Building","Change of Grade Contour","Withdrawn",,,,,"40161093",,"Not Associated to a Building","urban road building","N",,"District 14",
"GRADEALT-2021-11995","2021-06-25 12:00:00","2021-08-11 12:00:00","2022-10-07 12:00:00","2022-10-31 12:00:00","Grade Alteration Permit","Associated to a Building","New Building","Completed",173590,"86","HOGAN CRT","BEDFORD","00360511","Engineering - GRA - Compliance","Commercial","Construction of new Popeyes Louisiana restaurant","Y","2022-09-29 12:00:00","District 16","Passed"
"GRADEALT-2021-12646","2021-07-07 12:00:00","2021-08-23 12:00:00","2022-08-25 12:00:00","2022-10-31 12:00:00","Grade Alteration Permit","Associated to a Building","New Building","Completed",,,,,"41357823","Engineering - GRA - Compliance","Commercial","540 m2 office and warehouse building in Bayers Lake. Tilt up construction being built on subdivision parcel 9CB per HRM Subdivision File #23571.","N","2022-08-25 12:00:00","Unidentified","Passed"
"GRADEALT-2021-13423","2021-08-11 12:00:00","2021-09-01 12:00:00","2023-10-24 12:00:00","2023-10-31 12:00:00","Grade Alteration Permit","Associated to a Building","New Building","Completed",172823,"80","HOGAN CRT","BEDFORD","00360511","Engineering - GRA - Compliance","Commercial","New Commercial Building to be constructed on a previously prepared pad","Y","2023-10-24 12:00:00","District 16","Passed"
"GRADEALT-2021-14248","2021-11-24 12:00:00","2024-05-10 12:00:00",,"2026-05-08 12:00:00","Grade Alteration Permit","Associated to a Building","New Building","Issued",173656,"16","KINGS WHARF PL","DARTMOUTH","41488750",,"Mixed Use - Residential & Other Use(s)","Construction of a 220 unit apartment building along with a 51 suite hotel. Underground parking garage. Retail units on the ground floors as well as commercial space on the 2nd and 3rd floor of the podium","Y",,"District 05",
"GRADEALT-2021-14437","2021-08-30 12:00:00","2021-09-07 12:00:00","2022-11-09 12:00:00","2023-09-07 12:00:00","Grade Alteration Permit","Associated to a Building","Addition","Completed",148148,"102","HOBSONS LAKE DR","HALIFAX","41480526","Engineering - GRA - Compliance","Commercial","A new 2 story warehouse is being added to existing building.","N","2022-11-09 12:00:00","District 12","Passed"
"GRADEALT-2021-14770","2021-08-20 12:00:00","2021-10-22 12:00:00","2023-08-01 12:00:00","2023-10-20 12:00:00","Grade Alteration Permit","Associated to a Building","New Building","Completed",123408,"58","OLD TRUNK RD","ELMSDALE","40364895","Engineering - GRA - Compliance","Agriculture","We are putting up a pole barn to store agricultural equipment.","Y","2023-06-08 12:00:00","District 01","Passed"
"GRADEALT-2021-15930","2021-10-25 12:00:00","2021-12-29 12:00:00",,"2025-05-22 12:00:00","Grade Alteration Permit","Not Associated to a Building","Change of Grade Contour","Issued",,,,,"41300476","Engineering - GRA - Compliance","Not Associated to a Building","Grade Alteration Permit for phase 8-3 West Bedford.","Y","2023-11-24 12:00:00","District 16","Failed"
"GRADEALT-2021-16029","2021-11-10 12:00:00",,"2023-04-19 12:00:00",,"Grade Alteration Permit","Associated to a Building","New Building","Cancelled",,,,,"41457474",,"Dwelling - Multiple Units","Construction of a new 5 story building","Y",,"District 14",
"GRADEALT-2021-16280","2021-11-02 12:00:00","2021-11-15 12:00:00","2023-05-30 12:00:00","2023-07-31 12:00:00","Grade Alteration Permit","Associated to a Building","New Building","Completed",139552,"50","TEMPLE TERR","LOWER SACKVILLE","41446931","Engineering - GRA - Compliance","Commercial","Building a (3) Bay Warehouse, with attached office space at the front.  This is classed as Warehouse.  There will be parking at the front of the building and truck right of way from the back of the building.  15 parking spots at the front and 6 spots at the side of the building.  Building will be made of Insulated Metal Panels, Structural Steel Joist Frame and Concrete Floor.","Y","2023-05-30 12:00:00","District 15","Passed"
"GRADEALT-2021-17072","2021-10-07 12:00:00","2021-11-01 12:00:00","2022-12-08 12:00:00","2023-01-31 12:00:00","Grade Alteration Permit","Associated to a Building","New Building","Completed",169584,"276","HIGNEY AVE","DARTMOUTH","41431511","Engineering - GRA - Compliance","Commercial","Construction of an approximately 80' x 241' single storey conventional building located on Higney Avenue, Dartmouth, NS.","Y","2022-12-05 12:00:00","District 06","Passed"
"GRADEALT-2021-17834","2021-10-28 12:00:00","2021-11-09 12:00:00","2023-07-28 12:00:00","2023-11-30 12:00:00","Grade Alteration Permit","Associated to a Building","New Building","Completed",108910,"221","WAVERLEY RD","DARTMOUTH","00249722","Engineering - GRA - Compliance","Commercial","Nine Locks brewery, tap room and retail space. The current building on the site is being demolished and a new building being erected in it's place.","Y","2023-07-28 12:00:00","District 06","Passed"
"GRADEALT-2021-18385","2021-11-02 12:00:00","2021-11-16 12:00:00",,"2025-11-10 12:00:00","Grade Alteration Permit","Associated to a Building","New Building","Issued",170370,"239","GARY MARTIN DR","BEDFORD","41508581",,"Dwelling - Multiple Units","New 4-storey 75 unit affordable multi-residential apartment building.
Permit # BPCOM-2021-18271","Y",,"District 16",
"GRADEALT-2021-18614","2021-11-08 12:00:00","2021-12-14 12:00:00","2023-10-24 12:00:00","2024-02-29 12:00:00","Grade Alteration Permit","Associated to a Building","New Building","Completed",51781,"45","GRAHAMS GRV","DARTMOUTH","00209692","Engineering - GRA - Compliance","Commercial","Demolition of two existing building
Construction of two new small buildings connected by a deck and foundation","Y","2023-10-24 12:00:00","District 05","Passed"
"GRADEALT-2021-18979","2021-11-15 12:00:00","2021-12-31 12:00:00","2024-10-17 12:00:00","2024-09-27 12:00:00","Grade Alteration Permit","Associated to a Building","New Building","Completed",20602,"1831","ST MARGARETS BAY RD","TIMBERLEA","40027104","Engineering - GRA - Compliance","Commercial","construct a commercial building comprising of retail mercantile and hotel","Y","2024-10-17 12:00:00","District 12","Passed"
"GRADEALT-2021-19640","2021-12-10 12:00:00","2022-03-28 12:00:00","2024-12-11 12:00:00","2025-06-27 12:00:00","Grade Alteration Permit","Associated to a Building","New Building","Completed",175711,"35","LYNNETT RD","HALIFAX","40096133","Engineering - GRA - Compliance","Dwelling - Multiple Units","Starting construction to get pads ready for apartment building and townhouses as submitted in DA","Y","2024-12-11 12:00:00","District 11","Passed"
"GRADEALT-2021-19847","2021-12-08 12:00:00","2022-01-11 12:00:00","2024-12-05 12:00:00","2024-07-31 12:00:00","Grade Alteration Permit","Associated to a Building","Addition","Completed",131663,"137","CHAMPIONS WAY","WAVERLEY","40104069","Engineering - GRA - Compliance","Commercial","Grading for building addition and for accessibility parking.
Swale grading for septic bed.","Y","2024-07-22 12:00:00","District 01","Passed"
"GRADEALT-2021-20360","2021-12-29 12:00:00","2022-10-21 12:00:00","2025-01-22 12:00:00","2025-02-14 12:00:00","Grade Alteration Permit","Associated to a Building","Addition","Completed",160856,"2287","PROSPECT RD","HATCHET LAKE","40545626","Engineering - GRA - Compliance","Commercial","As per DA (HRM Case No 19311) the building permit application has been submitted. This application is for Grade Alteration on site.","Y","2025-01-13 12:00:00","District 13","Passed"
"GRADEALT-2022-00244","2022-01-07 12:00:00","2022-03-17 12:00:00",,"2025-02-20 12:00:00","Grade Alteration Permit","Associated to a Building","New Building","Issued",64932,"2828","GOTTINGEN ST","HALIFAX","00161299",,"Dwelling - Multiple Units","BUILDING 7 STOREY APARTMENT BUILDING","Y",,"District 08",
"GRADEALT-2022-00328","2022-01-10 12:00:00","2022-03-29 12:00:00",,"2025-10-31 12:00:00","Grade Alteration Permit","Associated to a Building","New Building","Issued",47853,"2","MONTEBELLO DR","DARTMOUTH","00249789",,"Mixed Use - Residential & Other Use(s)","Multi-Unit residential 5-level building at the corner of Montebello & Waverley Rd in Dartmouth. Lots 2, 4 Montebello and 246 Waverley Rd.","N",,"District 06",
"GRADEALT-2022-00358","2022-01-11 12:00:00","2022-01-17 12:00:00","2023-10-11 12:00:00","2023-10-13 12:00:00","Grade Alteration Permit","Not Associated to a Building","Change of Grade Contour","Completed",87952,"672","HERRING COVE RD","HALIFAX","00278168","Engineering - GRA - Compliance","Not Associated to a Building","Building Birchdale Subdivision","Y","2023-10-11 12:00:00","District 11","Passed"
"GRADEALT-2022-01202","2022-01-31 12:00:00","2022-05-04 12:00:00",,"2025-05-04 12:00:00","Grade Alteration Permit","Associated to a Building","New Building","Issued",66723,"3539","JOSEPH HOWE DR","HALIFAX","00181495",,"Dwelling - Multiple Units","Contractor to begin excavation of the site in preparation for a future multi-unit development in which building permits applications have not been yet submitted. The contractor is looking to start digging the hole as it will take approx. 4 months.","N",,"District 09",
"GRADEALT-2022-01202","2022-01-31 12:00:00","2022-05-04 12:00:00",,"2025-05-04 12:00:00","Grade Alteration Permit","Associated to a Building","New Building","Issued",66723,"3539","JOSEPH HOWE DR","HALIFAX","00181545",,"Dwelling - Multiple Units","Contractor to begin excavation of the site in preparation for a future multi-unit development in which building permits applications have not been yet submitted. The contractor is looking to start digging the hole as it will take approx. 4 months.","N",,"District 09",
"GRADEALT-2022-01393","2022-02-03 12:00:00","2022-02-08 12:00:00","2022-03-09 12:00:00","2024-02-05 12:00:00","Grade Alteration Permit","Associated to a Building","New Building","Completed",173438,"2634","OLD SAMBRO RD","WILLIAMSWOOD","00648618","Engineering - GRA - Compliance","Dwelling - Single Detached","Grade Alteration (G200) see development permit GP2021-00173, and building permit(s) BP2021-07026 (dwelling), BP2021-07040 (accessory building)","Y","2022-03-09 12:00:00","District 11","Passed"
"GRADEALT-2022-01663","2022-02-10 12:00:00","2022-03-21 12:00:00",,"2024-02-14 12:00:00","Grade Alteration Permit","Not Associated to a Building","Change of Grade Contour","Expired",,,,,"41417577",,"Not Associated to a Building","The construction of a road and road reserve.","N",,"District 13",
"GRADEALT-2022-01915","2022-02-22 12:00:00","2022-04-21 12:00:00","2024-02-15 12:00:00","2024-04-19 12:00:00","Grade Alteration Permit","Associated to a Building","Addition","Completed",46474,"10","DARTMOUTH RD","BEDFORD","40113326","Engineering - GRA - Compliance","Mixed Use - Residential & Other Use(s)","1) Excavate ( 3.4 cubic meters) and install a walkway (essentially level) from the existing parking lot to the proposed entrance to allow for building accessibility, emergency exit and proposed  (stairs and chairlift landing).","Y","2024-02-15 12:00:00","District 16","Passed"
"GRADEALT-2022-01967","2022-02-17 12:00:00","2022-06-17 12:00:00",,"2025-06-17 12:00:00","Grade Alteration Permit","Not Associated to a Building","Topsoil Removal","Issued",,,,,"40049777",,"Mixed Use - Residential & Other Use(s)","Lovett Lake Estates site development","Y",,"District 12",
"GRADEALT-2022-01989","2022-02-28 12:00:00","2022-03-15 12:00:00","2023-06-26 12:00:00","2024-06-14 12:00:00","Grade Alteration Permit","Associated to a Building","New Building","Completed",48933,"80","TRUE NORTH CRES","DARTMOUTH","40414179","Engineering - GRA - Compliance","Dwelling - Multiple Units","New 12 Unit Multi Residential Building","Y","2023-06-26 12:00:00","District 05","Passed"
"GRADEALT-2022-02316","2022-02-25 12:00:00","2022-05-09 12:00:00",,"2025-08-31 12:00:00","Grade Alteration Permit","Associated to a Building","New Building","Issued",78048,"1140","BARRINGTON ST","HALIFAX","00103614",,"Mixed Use - Residential & Other Use(s)","Excavate, backfill and finish grading for a new building","Y",,"District 07",
"GRADEALT-2022-03031","2022-03-09 12:00:00","2022-04-08 12:00:00","2024-04-08 12:00:00","2024-04-06 12:00:00","Grade Alteration Permit","Not Associated to a Building","Change of Grade Contour","Expired (Closed)",,,,,"40825499",,"Commercial","This is for road construction. There subdivision application number is 22828. The grade alteration also relates to topsoil removal","N",,"District 13",
"GRADEALT-2022-03242","2022-03-11 12:00:00","2022-05-18 12:00:00","2024-07-16 12:00:00","2025-03-16 12:00:00","Grade Alteration Permit","Associated to a Building","New Building","Completed",170588,"72","FARRINGDON WAY","BEDFORD","41461674","Engineering - GRA - Compliance","Dwelling - Multiple Units","New building located at 72 Farringdon Way. Pad ready site, bringing grades to grades shown on civil plans and in accordance with grade alteration plan submitting through WEST BEST HOLDING when they applied for their DA.","Y","2024-07-16 12:00:00","District 16","Passed"
"GRADEALT-2022-03496","2022-03-23 12:00:00","2023-03-31 12:00:00",,"2024-09-30 12:00:00","Grade Alteration Permit","Not Associated to a Building","Parking Lot Regrading","Expired",105300,"1925","HIGHWAY 7","EAST PRESTON","40542722",,"Commercial","grade is not being changed, we are supply and applying gravel to existing lot","Y",,"District 04",
"GRADEALT-2022-03963","2022-05-24 12:00:00",,,,"Grade Alteration Permit","Associated to a Building","New Building","Applicant Revisions",67233,"2487","MAYNARD ST","HALIFAX","41491945",,"Commercial","- Removal of contaminated soil 
- Backfill with approved fill material 
- Proposed new building foundations and earthworks","Y",,"District 08",
"GRADEALT-2022-04289","2022-05-03 12:00:00",,"2023-06-27 12:00:00","2023-05-16 12:00:00","Grade Alteration Permit","Associated to a Building","Addition","Cancelled",63300,"3248","ISLEVILLE ST","HALIFAX","00130955",,"Mixed Use - Residential & Other Use(s)","adding 6' x 10' addition to the back of the building to better access to the basement","Y",,"District 08",
"GRADEALT-2022-04626","2022-04-05 12:00:00",,,,"Grade Alteration Permit","Not Associated to a Building","Parking Lot Excavation","Applicant Revisions",72844,"2032","ROBIE ST","HALIFAX","00140038",,"Dwelling - Multiple Units","A building Permit will be submitted in a few weeks.
I spoke to Bob and asking to get the CMP review started for 2032 robie street","Y",,"District 08",
"GRADEALT-2022-05129","2022-04-14 12:00:00","2022-06-13 12:00:00","2024-08-12 12:00:00","2024-12-15 12:00:00","Grade Alteration Permit","Associated to a Building","New Building","Completed",168918,"355","WILKINSON AVE","DARTMOUTH","41402967","Engineering - GRA - Compliance","Commercial","Base build of 12,000 sq m commercial building.
Structure to be tilt up concrete with steel support.","Y","2024-08-12 12:00:00","District 06","Passed"
"GRADEALT-2022-05668","2022-04-26 12:00:00",,"2022-08-11 12:00:00",,"Grade Alteration Permit","Associated to a Building","New Building","Withdrawn",143751,"45","THORNE AVE","DARTMOUTH","41278912",,"Commercial","Locate and construct steel framed building with parking.
Add parking entrance and parking at the front area.
Add parking entrance and parking at the right side area,","Y",,"District 06",
"GRADEALT-2022-06320","2022-05-05 12:00:00",,"2022-06-14 12:00:00",,"Grade Alteration Permit","Associated to a Building","New Building","Withdrawn",,,,,"40096133",,"Dwelling - Multiple Units","new apartment building","Y",,"District 11",
"GRADEALT-2022-06919","2022-05-25 12:00:00","2022-07-13 12:00:00",,"2025-03-05 12:00:00","Grade Alteration Permit","Associated to a Building","New Building","Amendment Applicant Revisions",175964,"19","PARIS LANE","WESTPHAL","40150567",,"Dwelling - Single Detached","To construct four one-level, two-bedroom, one washroom duplexes","Y",,"District 04",
"GRADEALT-2022-07040","2022-05-19 12:00:00","2022-10-06 12:00:00",,"2025-06-28 12:00:00","Grade Alteration Permit","Associated to a Building","New Building","Amendment Applicant Revisions",175591,"8","JAM LANE","BEDFORD","41442278","Engineering - GRA - Compliance","Commercial","In connection with BPCOM-2022-03717 which is for the construction of Chicken Little Cafe.  Address not yet assigned, but is located next to Irving now under construction at 10 JAM Lane (see BP-2021-03390).","Y","2024-11-26 12:00:00","District 16","Failed"
"GRADEALT-2022-07152","2022-05-20 12:00:00","2022-05-31 12:00:00","2024-04-05 12:00:00","2024-08-31 12:00:00","Grade Alteration Permit","Associated to a Building","Addition","Completed",,,,,"00151092","Engineering - GRA - Compliance","Commercial","An addition to existing Commons Inn Hotel, which will include 36 additional hotel guest rooms.","N","2024-04-05 12:00:00","District 08","Passed"
"GRADEALT-2022-07371","2022-05-25 12:00:00","2022-05-30 12:00:00","2023-06-30 12:00:00","2023-07-30 12:00:00","Grade Alteration Permit","Not Associated to a Building","Parking Lot Excavation","Completed",123219,"25","LOIS LANE","HALIFAX","40850307","Engineering - GRA - Compliance","Not Associated to a Building","HRM Project # 21-336 Hartlen Park","Y","2023-06-30 12:00:00","District 11","Passed"
"GRADEALT-2022-07591","2022-05-30 12:00:00","2022-10-19 12:00:00",,"2024-07-25 12:00:00","Grade Alteration Permit","Associated to a Building","Addition","Expired",47642,"12","FIELDING AVE","DARTMOUTH","00099291",,"Commercial","40' x 40' addition to back of building, existing yard is graveled
This is for Building Permit  application BPCOM-2022-06788","Y",,"District 06",
"GRADEALT-2022-08466","2022-06-14 12:00:00","2022-08-18 12:00:00","2023-10-24 12:00:00","2023-12-29 12:00:00","Grade Alteration Permit","Associated to a Building","Addition","Completed",77797,"5968","COLLEGE ST","HALIFAX","00055962","Engineering - GRA - Compliance","Institutional and Governmental","This Grade Alteration Permit application is associated with BPCOM-2022-05393.","Y","2023-10-24 12:00:00","District 07","Passed"
"GRADEALT-2022-09140","2023-10-16 12:00:00",,"2023-10-18 12:00:00",,"Grade Alteration Permit","Associated to a Building","New Building","Withdrawn",162603,"78","BOSCOBEL RD","HALIFAX","41385410",,"Dwelling - Single Detached","Required excavation and site grading to the site related to water services foundations and reinstatement.","Y",,"District 11",
"GRADEALT-2022-09715","2022-07-22 12:00:00","2022-09-23 12:00:00","2023-09-01 12:00:00","2023-09-08 12:00:00","Grade Alteration Permit","Associated to a Building","New Building","Completed",172042,"219","HOBSONS LAKE DR","HALIFAX","41357815","Engineering - GRA - Compliance","Commercial","10000 sqft new office and warehouse building. BPCOM-2022-09660","Y","2023-09-01 12:00:00","District 12","Passed"
"GRADEALT-2022-10147","2022-08-17 12:00:00",,"2022-08-17 12:00:00",,"Grade Alteration Permit","Associated to a Building","Addition","Withdrawn",16625,"12","VILLAGE ST","TANTALLON","40781155",,"Agriculture","addition of a horse barn to an existing garage. no grade changes were made","Y",,"District 13",
"GRADEALT-2022-10557","2022-07-28 12:00:00","2022-08-12 12:00:00","2024-12-06 12:00:00","2024-12-31 12:00:00","Grade Alteration Permit","Associated to a Building","New Building","Completed",169402,"62","COLONEL JOSEPH SCOTT DR","LOWER SACKVILLE","41077819","Engineering - GRA - Compliance","Accessory Structure","This is supplemental permit for a Grade Alteration Permit /A-101-Site Plan  for the Accessory Storage Structure, building permit.","Y","2024-12-06 12:00:00","District 15","Passed"
"GRADEALT-2022-10999","2022-08-18 12:00:00","2022-11-10 12:00:00",,"2025-11-11 12:00:00","Grade Alteration Permit","Associated to a Building","New Building","Issued",58245,"153","WYSE RD","DARTMOUTH","00045427",,"Mixed Use - Residential & Other Use(s)","We are building a 114 unit apartment building at 153 Wyse road.","Y",,"District 05",
"GRADEALT-2022-11471","2022-08-18 12:00:00","2022-08-22 12:00:00","2023-09-27 12:00:00","2023-08-22 12:00:00","Grade Alteration Permit","Associated to a Building","Addition","Completed",1820,"1658","BEDFORD HWY","BEDFORD","00432138","Engineering - GRA - Compliance","Commercial","No change of grade will occur - screw piles will be added in existing raised curb area adjacent to Peavey Mart front façade in order to facilitate greenhouse structure.","Y","2023-09-27 12:00:00","District 16","Passed"
"GRADEALT-2022-12023","2022-09-09 12:00:00","2022-10-17 12:00:00","2023-11-02 12:00:00","2023-10-17 12:00:00","Grade Alteration Permit","Associated to a Building","Addition","Completed",25827,"767","OLD SAMBRO RD","HARRIETSFIELD","00388173","Engineering - GRA - Compliance","Commercial","Addition to existing building will be a concrete slab on level lot.
No changes in grade are needed.","Y","2023-11-02 12:00:00","District 11","Passed"
"GRADEALT-2022-12326","2022-09-09 12:00:00","2022-11-29 12:00:00","2023-06-28 12:00:00","2023-11-30 12:00:00","Grade Alteration Permit","Associated to a Building","New Building","Completed",47039,"1225","BEDFORD HWY","BEDFORD","00428466","Engineering - GRA - Compliance","Commercial","Altering the grades to accommodate a new building on an existing cleared lot at 1225 Bedford Highway.","Y","2023-06-28 12:00:00","District 16","Passed"
"GRADEALT-2022-12721","2022-09-19 12:00:00","2022-12-07 12:00:00",,"2025-12-26 12:00:00","Grade Alteration Permit","Associated to a Building","New Building","Issued",177469,"5","WILLIAMS ST","DARTMOUTH","00045518",,"Dwelling - Multiple Units","Grade alteration permit to begin digging for a new Multi Residential Building.","N",,"District 05",
"GRADEALT-2022-12721","2022-09-19 12:00:00","2022-12-07 12:00:00",,"2025-12-26 12:00:00","Grade Alteration Permit","Associated to a Building","New Building","Issued",177469,"5","WILLIAMS ST","DARTMOUTH","00045575",,"Dwelling - Multiple Units","Grade alteration permit to begin digging for a new Multi Residential Building.","N",,"District 05",
"GRADEALT-2022-12959","2022-09-26 12:00:00","2022-12-05 12:00:00",,"2025-12-29 12:00:00","Grade Alteration Permit","Associated to a Building","New Building","Issued",51107,"139","MAIN ST","DARTMOUTH","00191700",,"Mixed Use - Residential & Other Use(s)","Mixed-use 6-storey commercial and residential building. The project is designed to be an affordable living space for seniors, includes 2 commercial spaces on main floor, basement and offices.","Y",,"District 06",
"GRADEALT-2022-13760","2022-10-18 12:00:00","2022-10-21 12:00:00",,"2025-10-10 12:00:00","Grade Alteration Permit","Associated to a Building","New Building","Issued",1354,"427","POCKWOCK RD","UPPER HAMMONDS PLAINS","41032996",,"Dwelling - Multiple Units","99 Units Rental Apartments building","Y",,"District 14",
"GRADEALT-2022-14230","2022-11-01 12:00:00","2023-01-31 12:00:00","2023-09-08 12:00:00","2024-01-19 12:00:00","Grade Alteration Permit","Associated to a Building","New Building","Cancelled",135878,"203","AEROTECH DR","GOFFS","41195512",,"Commercial","New building to be used as a drum storage garage for Clean Earth","Y",,"District 01",
"LOTGRADE-2021-11916","2021-07-19 12:00:00","2021-07-23 12:00:00","2022-10-26 12:00:00","2023-07-23 12:00:00","Lot Grading Permit","Associated to a Building","New","Completed",51079,"17","WEYBURN RD","DARTMOUTH","00204560","Engineering - LOT - Lot Grading","Accessory Structure","Grading permit in relation to BP 2021-08874 garage","Y","2022-10-26 12:00:00","District 06","Passed"
"LOTGRADE-2021-12037","2021-06-25 12:00:00","2021-07-06 12:00:00",,"2025-07-05 12:00:00","Lot Grading Permit","Associated to a Building","New","Issued",117202,"8","DRIFTWOOD CRES","COLE HARBOUR","40122475","Engineering - LOT - Lot Grading","Accessory Structure","garage - related to BP-2021-12038","Y","2024-07-08 12:00:00","District 04","Failed"
"LOTGRADE-2021-12351","2021-07-02 12:00:00","2021-07-13 12:00:00","2023-07-19 12:00:00","2023-07-19 12:00:00","Lot Grading Permit","Associated to a Building","Addition","Completed",134223,"6","FLORENCE ST","HERRING COVE","00423384","Engineering - LOT - Lot Grading","Dwelling - Single Detached","To install a 12' x 15' seasonal (non-insulated) sunroom on a new floor supported on screw piles.  Also add a new 12' x 16' deck supported on screw piles.  There will be no change to the lot grading by using screw piles to support the sunroom addition and deck.","Y","2023-07-19 12:00:00","District 11","Waived"
"LOTGRADE-2021-12608","2021-07-06 12:00:00","2021-07-15 12:00:00","2024-12-05 12:00:00","2024-11-29 12:00:00","Lot Grading Permit","Associated to a Building","New","Completed",,,,,"41506015","Engineering - LOT - Lot Grading","Dwelling - Semi-Detached","Lot Grading for Semi-detached House new construction","Y","2024-11-06 12:00:00","District 12","Passed"
"LOTGRADE-2021-12741","2021-07-09 12:00:00","2021-07-20 12:00:00","2023-06-06 12:00:00","2023-07-19 12:00:00","Lot Grading Permit","Associated to a Building","New","Completed",142581,"178","NADIA DR","DARTMOUTH","41513987","Engineering - LOT - Lot Grading","Dwelling - Semi-Detached","new construction for 8 unit townhouse","Y","2023-06-06 12:00:00","District 05","Passed"
"LOTGRADE-2021-12821","2021-07-09 12:00:00","2021-07-15 12:00:00","2023-07-25 12:00:00","2023-07-17 12:00:00","Lot Grading Permit","Not Associated to a Building","Swimming Pool","Expired (Closed)",121211,"78","WATERSIDE TERR","DARTMOUTH","41031162","Engineering - LOT - Lot Grading","Dwelling - Single Detached","Building a deck around an above ground swimming pool","Y","2022-06-02 12:00:00","District 03","Cancelled"
"LOTGRADE-2021-12925","2021-07-12 12:00:00","2021-07-20 12:00:00",,"2025-10-11 12:00:00","Lot Grading Permit","Associated to a Building","New","Issued",111424,"6","FADER ST","DARTMOUTH","00185892",,"Accessory Structure","Build a garage 16'x20'","Y",,"District 06",
"LOTGRADE-2021-13012","2021-07-14 12:00:00","2021-07-22 12:00:00",,"2025-02-22 12:00:00","Lot Grading Permit","Associated to a Building","Addition","Issued",76474,"6575","NORWOOD ST","HALIFAX","00012989","Engineering - LOT - Lot Grading","Dwelling - Single Detached","we will be building a 2 story addition on the back of the home and renovating the main level of the current home.","Y","2023-10-18 12:00:00","District 09","Failed"
"LOTGRADE-2021-13125","2021-09-21 12:00:00","2022-01-31 12:00:00","2023-07-20 12:00:00","2023-07-21 12:00:00","Lot Grading Permit","Associated to a Building","New","Completed",174034,"64","EVERETTE ST","DARTMOUTH","41511304","Engineering - LOT - Lot Grading","Dwelling - Semi-Detached","Looking to get permit for dwilling this semi-detached (each with a secondary suite)","Y","2023-07-20 12:00:00","District 03","Passed"
"LOTGRADE-2021-13276","2021-07-19 12:00:00","2021-07-23 12:00:00","2024-06-05 12:00:00","2024-05-31 12:00:00","Lot Grading Permit","Not Associated to a Building","Swimming Pool","Completed",147272,"4","SEDGEWICK PL","BEDFORD","41318940","Engineering - LOT - Lot Grading","Dwelling - Single Detached","Installing a round, above ground pool . 15' in diameter. Also installing a retaining wall. Both are shown on the included siting and grading plan.","Y","2024-03-20 12:00:00","District 16","Failed"
"LOTGRADE-2023-12154","2023-09-11 12:00:00","2023-09-12 12:00:00","2024-11-01 12:00:00","2025-09-11 12:00:00","Lot Grading Permit","Associated to a Building","New","Completed",176880,"145","TERRADORE LANE","BEDFORD","41520172","Engineering - LOT - Lot Grading","Dwelling - Single Detached","construct a single unit dwelling","Y","2024-11-01 12:00:00","District 16","Passed"
"LOTGRADE-2023-12224","2023-11-03 12:00:00","2023-11-08 12:00:00","2024-11-01 12:00:00","2025-11-14 12:00:00","Lot Grading Permit","Associated to a Building","New","Completed",179465,"72","LAKELAND ST","BEAVER BANK","41514589","Engineering - LOT - Lot Grading","Dwelling - Multiple Units","New construction home.  Associated with BPRES-2023-12143 and WATER-2023-12219.","Y","2024-10-09 12:00:00","District 15","Passed"
"LOTGRADE-2023-12362","2023-09-14 12:00:00","2023-10-03 12:00:00","2024-06-04 12:00:00","2024-12-27 12:00:00","Lot Grading Permit","Associated to a Building","New","Completed",173326,"2","EDGEHILL RD","HALIFAX","41499286","Engineering - LOT - Lot Grading","Dwelling - Single Detached","new construction of single family home","Y","2024-05-31 12:00:00","District 09","Passed"
"LOTGRADE-2023-12476","2023-09-18 12:00:00","2023-09-20 12:00:00","2024-11-04 12:00:00","2025-09-26 12:00:00","Lot Grading Permit","Associated to a Building","New","Completed",176881,"139","TERRADORE LANE","BEDFORD","41520180","Engineering - LOT - Lot Grading","Dwelling - Single Detached","construct a single unit dwelling","Y","2024-11-04 12:00:00","District 16","Passed"
"LOTGRADE-2023-12545","2023-09-21 12:00:00","2023-11-03 12:00:00",,"2025-11-03 12:00:00","Lot Grading Permit","Associated to a Building","New","Issued",12153,"25","SWAN CRES","HALIFAX","00323832",,"Dwelling - Single Detached","construct a backyard suite, and a retaining wall may be required.","Y",,"District 10",
